id,age,income,spending_score,purchases,credit_score,account_balance,transactions
1,25.0,50000.0,60,5,720,15000,45
2,30.0,62000.0,72,7,680,22000,58
3,32.5,55000.0,65,6,700,18000,50
5,22.0,45000.0,55,4,690,12000,35
6,35.0,62000.0,70,8,710,25000,60
7,29.0,58000.0,68,7,705,20000,55
8,31.0,62000.0,75,9,730,26000,65
9,28.0,54000.0,63,6,695,17000,48
10,45.0,120000.0,82,12,760,60000,95
11,38.0,75000.0,78,10,740,32000,80
12,32.5,67000.0,71,8,715,28000,70
13,27.0,52000.0,59,5,700,16000,42
14,33.0,61000.0,69,7,725,24000,57
15,41.0,90000.0,85,11,770,45000,88
16,36.0,72000.0,76,9,745,31000,74
17,24.0,48000.0,52,4,685,13000,30
18,39.0,85000.0,80,10,755,40000,84
19,23.0,62000.0,50,3,670,10000,25
21,29.0,58000.0,68,7,705,20000,55
22,34.0,64000.0,73,8,735,27000,66
23,37.0,71000.0,77,9,748,30000,72
24,26.0,51000.0,58,5,698,15500,40
25,42.0,95000.0,86,12,775,47000,90
26,32.0,60000.0,70,8,720,23000,59
27,28.0,57000.0,64,6,702,19000,49
28,35.0,69000.0,74,9,738,29000,68
29,21.0,43000.0,48,3,660,9000,20
30,44.0,110000.0,88,13,780,55000,100
31,27.0,53000.0,61,5,710,16500,44
32,33.0,65000.0,73,8,735,27500,67
33,36.0,73000.0,79,10,750,33000,78
34,24.0,47000.0,53,4,680,12500,32
36,29.0,59000.0,67,7,708,21000,54
37,31.0,61000.0,72,8,725,24000,61
38,26.0,50000.0,57,5,695,15000,39
39,43.0,98000.0,87,12,770,48000,92
40,34.0,66000.0,75,9,740,28500,69
41,37.0,72000.0,78,10,748,32000,76
42,23.0,44000.0,49,3,665,9500,22
44,28.0,56000.0,66,6,700,18500,47
45,30.0,60000.0,71,8,720,22500,60
46,39.0,87000.0,81,11,760,41000,85
47,25.0,49000.0,54,4,688,14000,34
48,41.0,92000.0,84,12,772,46000,89
49,32.5,58000.0,69,7,710,20500,53
