id,age,income,spending_score,purchases,credit_score,account_balance,transactions
1,25,50000,60,5,720,15000,45
2,30,62000,72,7,680,22000,58
3,,55000,65,6,700,18000,50
4,40,800000,99,100,850,500000,450
5,22,45000,55,4,690,12000,35
6,35,,70,8,710,25000,60
7,29,58000,68,7,705,20000,55
7,29,58000,68,7,705,20000,55
8,31,62000,75,9,730,26000,65
9,28,54000,63,6,695,17000,48
10,45,120000,82,12,760,60000,95
11,38,75000,78,10,740,32000,80
12,,67000,71,8,715,28000,70
13,27,52000,59,5,700,16000,42
14,33,61000,69,7,725,24000,57
15,41,90000,85,11,770,45000,88
16,36,72000,76,9,745,31000,74
17,24,48000,52,4,685,13000,30
18,39,85000,80,10,755,40000,84
19,23,,50,3,670,10000,25
20,50,150000,90,15,790,75000,120
21,29,58000,68,7,705,20000,55
22,34,64000,73,8,735,27000,66
23,37,71000,77,9,748,30000,72
24,26,51000,58,5,698,15500,40
25,42,95000,86,12,775,47000,90
26,32,60000,70,8,720,23000,59
27,28,57000,64,6,702,19000,49
28,35,69000,74,9,738,29000,68
29,21,43000,48,3,660,9000,20
30,44,110000,88,13,780,55000,100
31,27,53000,61,5,710,16500,44
32,33,65000,73,8,735,27500,67
33,36,73000,79,10,750,33000,78
34,24,47000,53,4,680,12500,32
35,48,140000,91,14,800,70000,115
36,29,59000,67,7,708,21000,54
37,31,61000,72,8,725,24000,61
38,26,50000,57,5,695,15000,39
39,43,98000,87,12,770,48000,92
40,34,66000,75,9,740,28500,69
41,37,72000,78,10,748,32000,76
42,23,44000,49,3,665,9500,22
43,52,160000,93,16,810,82000,130
44,28,56000,66,6,700,18500,47
45,30,60000,71,8,720,22500,60
46,39,87000,81,11,760,41000,85
47,25,49000,54,4,688,14000,34
48,41,92000,84,12,772,46000,89
49,,58000,69,7,710,20500,53
50,46,125000,89,13,785,62000,105
